1m | MACD(11,28,6) | 胜率: 24.07% | 收益: -2.57%
1m | MACD(11,28,7) | 胜率: 24.14% | 收益: -2.57%
1m | MACD(11,28,8) | 胜率: 21.31% | 收益: -3.05%
1m | MACD(11,28,9) | 胜率: 21.31% | 收益: -2.89%
1m | MACD(11,29,5) | 胜率: 22.81% | 收益: -2.73%
1m | MACD(11,29,6) | 胜率: 20.97% | 收益: -2.74%
1m | MACD(11,29,7) | 胜率: 23.81% | 收益: -2.89%
1m | MACD(11,29,8) | 胜率: 17.02% | 收益: -2.38%
1m | MACD(11,29,9) | 胜率: 22.50% | 收益: -0.99%
1m | MACD(11,30,5) | 胜率: 23.64% | 收益: -2.50%
1m | MACD(11,30,6) | 胜率: 17.31% | 收益: -2.50%
1m | MACD(11,30,7) | 胜率: 22.50% | 收益: -0.91%
1m | MACD(11,30,8) | 胜率: 28.57% | 收益: -0.59%
1m | MACD(11,30,9) | 胜率: 27.59% | 收益: 0.43%
1m | MACD(11,31,5) | 胜率: 22.22% | 收益: -0.83%
1m | MACD(11,31,6) | 胜率: 22.86% | 收益: -0.87%
1m | MACD(11,31,7) | 胜率: 21.43% | 收益: 0.47%
1m | MACD(11,31,8) | 胜率: 29.63% | 收益: 0.67%
1m | MACD(11,31,9) | 胜率: 32.00% | 收益: 0.90%
1m | MACD(11,32,5) | 胜率: 23.53% | 收益: -0.55%
1m | MACD(11,32,6) | 胜率: 24.24% | 收益: -0.71%
1m | MACD(11,32,7) | 胜率: 29.63% | 收益: 0.67%
1m | MACD(11,32,8) | 胜率: 32.00% | 收益: 0.86%
1m | MACD(11,32,9) | 胜率: 31.82% | 收益: 0.71%
1m | MACD(11,33,5) | 胜率: 24.24% | 收益: -0.67%
1m | MACD(11,33,6) | 胜率: 32.26% | 收益: -0.48%
1m | MACD(11,33,7) | 胜率: 32.00% | 收益: 0.70%
1m | MACD(11,33,8) | 胜率: 20.83% | 收益: 0.55%
1m | MACD(11,33,9) | 胜率: 21.74% | 收益: 0.63%
1m | MACD(11,34,5) | 胜率: 33.33% | 收益: -0.60%
1m | MACD(11,34,6) | 胜率: 24.14% | 收益: -0.91%
1m | MACD(11,34,7) | 胜率: 25.00% | 收益: 0.51%
1m | MACD(11,34,8) | 胜率: 25.00% | 收益: 1.06%
1m | MACD(11,34,9) | 胜率: 25.00% | 收益: 1.06%
1m | MACD(11,35,5) | 胜率: 32.14% | 收益: -0.63%
1m | MACD(11,35,6) | 胜率: 26.09% | 收益: 0.63%
1m | MACD(11,35,7) | 胜率: 25.00% | 收益: 1.06%
1m | MACD(11,35,8) | 胜率: 27.27% | 收益: 0.94%
1m | MACD(11,35,9) | 胜率: 25.00% | 收益: 0.82%
1m | MACD(11,36,5) | 胜率: 25.00% | 收益: 0.86%
1m | MACD(11,36,6) | 胜率: 25.00% | 收益: 0.94%
1m | MACD(11,36,7) | 胜率: 25.00% | 收益: 0.82%
1m | MACD(11,36,8) | 胜率: 25.00% | 收益: 0.82%
1m | MACD(11,36,9) | 胜率: 27.27% | 收益: 0.78%
1m | MACD(11,37,5) | 胜率: 30.00% | 收益: 0.86%
1m | MACD(11,37,6) | 胜率: 33.33% | 收益: 0.98%
1m | MACD(11,37,7) | 胜率: 27.27% | 收益: 1.02%
1m | MACD(11,37,8) | 胜率: 22.22% | 收益: 0.86%
1m | MACD(11,37,9) | 胜率: 22.22% | 收益: 0.90%
1m | MACD(11,38,5) | 胜率: 44.44% | 收益: 1.33%
1m | MACD(11,38,6) | 胜率: 37.50% | 收益: 0.94%
1m | MACD(11,38,7) | 胜率: 37.50% | 收益: 0.98%
1m | MACD(11,38,8) | 胜率: 30.00% | 收益: 0.98%
1m | MACD(11,38,9) | 胜率: 25.00% | 收益: 0.82%
1m | MACD(11,39,5) | 胜率: 37.50% | 收益: 1.02%
1m | MACD(11,39,6) | 胜率: 37.50% | 收益: 0.98%
1m | MACD(11,39,7) | 胜率: 30.00% | 收益: 0.82%
1m | MACD(11,39,8) | 胜率: 36.36% | 收益: 0.86%
1m | MACD(11,39,9) | 胜率: 30.77% | 收益: 1.02%
1m | MACD(12,25,5) | 胜率: 14.29% | 收益: -2.21%
1m | MACD(12,25,6) | 胜率: 16.67% | 收益: -2.33%
1m | MACD(12,25,7) | 胜率: 18.37% | 收益: -2.10%
1m | MACD(12,25,8) | 胜率: 26.00% | 收益: -2.09%
1m | MACD(12,25,9) | 胜率: 29.17% | 收益: -1.66%
1m | MACD(12,26,5) | 胜率: 12.77% | 收益: -2.65%
1m | MACD(12,26,6) | 胜率: 27.08% | 收益: -1.74%
1m | MACD(12,26,7) | 胜率: 29.79% | 收益: -1.78%
1m | MACD(12,26,8) | 胜率: 35.42% | 收益: -0.54%
1m | MACD(12,26,9) | 胜率: 27.08% | 收益: -2.02%
1m | MACD(12,27,5) | 胜率: 28.89% | 收益: -1.66%
1m | MACD(12,27,6) | 胜率: 34.78% | 收益: -0.78%
1m | MACD(12,27,7) | 胜率: 21.43% | 收益: -1.91%
1m | MACD(12,27,8) | 胜率: 25.45% | 收益: -2.46%
1m | MACD(12,27,9) | 胜率: 24.07% | 收益: -2.42%
1m | MACD(12,28,5) | 胜率: 19.57% | 收益: -2.69%
1m | MACD(12,28,6) | 胜率: 23.91% | 收益: -2.10%
1m | MACD(12,28,7) | 胜率: 25.45% | 收益: -2.46%
1m | MACD(12,28,8) | 胜率: 22.41% | 收益: -2.50%
1m | MACD(12,28,9) | 胜率: 20.00% | 收益: -3.09%
1m | MACD(12,29,5) | 胜率: 23.64% | 收益: -2.34%
1m | MACD(12,29,6) | 胜率: 25.93% | 收益: -1.66%
1m | MACD(12,29,7) | 胜率: 19.67% | 收益: -2.81%
1m | MACD(12,29,8) | 胜率: 18.03% | 收益: -3.17%
1m | MACD(12,29,9) | 胜率: 20.34% | 收益: -2.85%
1m | MACD(12,30,5) | 胜率: 22.41% | 收益: -2.10%
1m | MACD(12,30,6) | 胜率: 15.25% | 收益: -3.01%
1m | MACD(12,30,7) | 胜率: 19.23% | 收益: -2.58%
1m | MACD(12,30,8) | 胜率: 20.51% | 收益: -0.99%
1m | MACD(12,30,9) | 胜率: 21.62% | 收益: -0.79%
1m | MACD(12,31,5) | 胜率: 17.31% | 收益: -2.54%
1m | MACD(12,31,6) | 胜率: 20.51% | 收益: -1.07%
1m | MACD(12,31,7) | 胜率: 22.86% | 收益: -0.75%
1m | MACD(12,31,8) | 胜率: 23.53% | 收益: -0.55%
1m | MACD(12,31,9) | 胜率: 33.33% | 收益: 1.06%
1m | MACD(12,32,5) | 胜率: 22.86% | 收益: -0.75%
1m | MACD(12,32,6) | 胜率: 23.53% | 收益: -0.55%
1m | MACD(12,32,7) | 胜率: 26.09% | 收益: 0.83%
1m | MACD(12,32,8) | 胜率: 26.09% | 收益: 0.83%
1m | MACD(12,32,9) | 胜率: 34.78% | 收益: 1.02%
1m | MACD(12,33,5) | 胜率: 24.24% | 收益: -0.63%
1m | MACD(12,33,6) | 胜率: 24.00% | 收益: 0.75%
1m | MACD(12,33,7) | 胜率: 26.09% | 收益: 0.83%
1m | MACD(12,33,8) | 胜率: 35.00% | 收益: 0.78%
1m | MACD(12,33,9) | 胜率: 35.00% | 收益: 0.90%
1m | MACD(12,34,5) | 胜率: 25.81% | 收益: -0.63%
1m | MACD(12,34,6) | 胜率: 31.82% | 收益: 0.71%
1m | MACD(12,34,7) | 胜率: 33.33% | 收益: 0.78%
1m | MACD(12,34,8) | 胜率: 22.73% | 收益: 0.67%
1m | MACD(12,34,9) | 胜率: 28.57% | 收益: 0.71%
1m | MACD(12,35,5) | 胜率: 32.14% | 收益: -0.75%
1m | MACD(12,35,6) | 胜率: 20.83% | 收益: 0.51%
1m | MACD(12,35,7) | 胜率: 26.09% | 收益: 0.63%
1m | MACD(12,35,8) | 胜率: 30.00% | 收益: 1.14%
1m | MACD(12,35,9) | 胜率: 30.00% | 收益: 1.02%
1m | MACD(12,36,5) | 胜率: 25.00% | 收益: 0.55%
1m | MACD(12,36,6) | 胜率: 25.00% | 收益: 1.06%
1m | MACD(12,36,7) | 胜率: 27.27% | 收益: 0.94%
1m | MACD(12,36,8) | 胜率: 25.00% | 收益: 0.82%
1m | MACD(12,36,9) | 胜率: 30.00% | 收益: 0.90%
1m | MACD(12,37,5) | 胜率: 25.00% | 收益: 0.86%
1m | MACD(12,37,6) | 胜率: 25.00% | 收益: 0.82%
1m | MACD(12,37,7) | 胜率: 25.00% | 收益: 0.82%
1m | MACD(12,37,8) | 胜率: 27.27% | 收益: 0.78%
1m | MACD(12,37,9) | 胜率: 27.27% | 收益: 0.78%
1m | MACD(12,38,5) | 胜率: 27.27% | 收益: 0.94%
1m | MACD(12,38,6) | 胜率: 25.00% | 收益: 0.90%
1m | MACD(12,38,7) | 胜率: 30.00% | 收益: 1.21%
1m | MACD(12,38,8) | 胜率: 22.22% | 收益: 0.90%
1m | MACD(12,38,9) | 胜率: 22.22% | 收益: 1.02%
1m | MACD(12,39,5) | 胜率: 30.00% | 收益: 0.90%
1m | MACD(12,39,6) | 胜率: 30.00% | 收益: 0.86%
1m | MACD(12,39,7) | 胜率: 30.00% | 收益: 0.98%
1m | MACD(12,39,8) | 胜率: 30.00% | 收益: 0.98%
1m | MACD(12,39,9) | 胜率: 25.00% | 收益: 0.82%
1m | MACD(13,25,5) | 胜率: 14.89% | 收益: -2.41%
1m | MACD(13,25,6) | 胜率: 17.78% | 收益: -1.86%
1m | MACD(13,25,7) | 胜率: 17.39% | 收益: -2.13%
1m | MACD(13,25,8) | 胜率: 17.02% | 收益: -2.37%
1m | MACD(13,25,9) | 胜率: 26.53% | 收益: -1.86%
1m | MACD(13,26,5) | 胜率: 19.15% | 收益: -1.78%
1m | MACD(13,26,6) | 胜率: 24.49% | 收益: -2.02%
1m | MACD(13,26,7) | 胜率: 26.53% | 收益: -1.78%
